SpecID,Subphylum
Spec454,Ascomycota
Spec455,Ascomycota
Spec456,Ascomycota
Spec457,Ascomycota
Spec458,Ascomycota
Spec459,Ascomycota
Spec460,Ascomycota
Spec461,Ascomycota
Spec462,Ascomycota
Spec463,Ascomycota
Spec464,Ascomycota
Spec465,Ascomycota
Spec466,Ascomycota
Spec467,Ascomycota
Spec468,Ascomycota
Spec469,Ascomycota
Spec470,Ascomycota
Spec471,Ascomycota
Spec472,Ascomycota
Spec473,Ascomycota
Spec474,Ascomycota
Spec475,Ascomycota
Spec476,Ascomycota
Spec477,Ascomycota
Spec478,Ascomycota
Spec479,Ascomycota
Spec480,Ascomycota
Spec481,Ascomycota
Spec482,Ascomycota
Spec483,Ascomycota
Spec484,Ascomycota
Spec485,Ascomycota
Spec486,Ascomycota
Spec487,Ascomycota
Spec488,Ascomycota
Spec489,Ascomycota
Spec490,Ascomycota
Spec491,Ascomycota
Spec492,Ascomycota
Spec493,Ascomycota
Spec494,Ascomycota
Spec495,Ascomycota
Spec496,Ascomycota
Spec497,Ascomycota
Spec498,Ascomycota
Spec499,Ascomycota
Spec500,Ascomycota
Spec501,Ascomycota
Spec502,Ascomycota
Spec503,Ascomycota
Spec504,Ascomycota
Spec505,Ascomycota
Spec506,Ascomycota
Spec507,Ascomycota
Spec508,Ascomycota
Spec509,Ascomycota
Spec510,Ascomycota
Spec511,Ascomycota
Spec512,Ascomycota
Spec435,Ascomycota
Spec513,Ascomycota
Spec514,Ascomycota
Spec515,Ascomycota
Spec516,Ascomycota
Spec517,Ascomycota
Spec518,Ascomycota
Spec519,Ascomycota
Spec520,Ascomycota
Spec521,Ascomycota
Spec522,Ascomycota
Spec523,Ascomycota
Spec524,Ascomycota
Spec525,Ascomycota
Spec526,Ascomycota
Spec527,Ascomycota
Spec528,Ascomycota
Spec529,Ascomycota
Spec530,Ascomycota
Spec531,Ascomycota
Spec532,Ascomycota
Spec533,Ascomycota
Spec534,Ascomycota
Spec535,Ascomycota
Spec536,Ascomycota
Spec537,Ascomycota
Spec538,Ascomycota
Spec539,Ascomycota
Spec540,Ascomycota
Spec541,Ascomycota
Spec542,Ascomycota
Spec543,Ascomycota
Spec544,Ascomycota
Spec545,Ascomycota
Spec546,Ascomycota
Spec547,Ascomycota
Spec548,Ascomycota
Spec549,Ascomycota
Spec550,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec552,Ascomycota
Spec551,Ascomycota
Spec553,Ascomycota
Spec554,Ascomycota
Spec551,Ascomycota
Spec555,Ascomycota
Spec556,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec557,Ascomycota
Spec551,Ascomycota
Spec558,Ascomycota
Spec559,Ascomycota
Spec560,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec561,Ascomycota
Spec562,Ascomycota
Spec563,Ascomycota
Spec564,Ascomycota
Spec563,Ascomycota
Spec565,Ascomycota
Spec566,Ascomycota
Spec567,Ascomycota
Spec568,Ascomycota
Spec569,Ascomycota
Spec570,Ascomycota
Spec571,Ascomycota
Spec570,Ascomycota
Spec572,Ascomycota
Spec573,Ascomycota
Spec574,Ascomycota
Spec575,Ascomycota
Spec576,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec577,Ascomycota
Spec578,Basidiomycota
Spec551,Ascomycota
Spec579,Ascomycota
Spec580,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec581,Ascomycota
Spec582,Ascomycota
Spec583,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec551,Ascomycota
Spec584,Ascomycota
Spec585,Ascomycota
Spec586,Ascomycota
Spec587,Ascomycota
Spec588,Ascomycota
Spec589,Ascomycota
Spec590,Ascomycota
Spec591,Ascomycota
Spec592,Ascomycota
Spec593,Ascomycota
Spec594,Ascomycota
Spec578,Basidiomycota
Spec595,Ascomycota
Spec596,Ascomycota
Spec597,Ascomycota
Spec598,NA
Spec599,Ascomycota
Spec600,Ascomycota
Spec601,Ascomycota
Spec602,Ascomycota
Spec603,Ascomycota
Spec604,Ascomycota
Spec605,Ascomycota
Spec606,Ascomycota
Spec607,Ascomycota
Spec608,Ascomycota
Spec609,Ascomycota
Spec610,Ascomycota
Spec611,Ascomycota
Spec612,Ascomycota
Spec613,Ascomycota
Spec614,Ascomycota
Spec615,Ascomycota
Spec616,Ascomycota
Spec617,Ascomycota
Spec618,Ascomycota
Spec619,Ascomycota
Spec620,Ascomycota
Spec621,Ascomycota
Spec622,Ascomycota
Spec623,Ascomycota
Spec624,Ascomycota
Spec625,Ascomycota
Spec626,Ascomycota
Spec627,Ascomycota
Spec628,Ascomycota
Spec629,Ascomycota
Spec630,Ascomycota
Spec631,Ascomycota
Spec632,Ascomycota
Spec633,Ascomycota
Spec634,Ascomycota
Spec635,Ascomycota
Spec636,Ascomycota
Spec637,Ascomycota
Spec638,Ascomycota
Spec639,Ascomycota
Spec640,Ascomycota
Spec641,Ascomycota
Spec642,Ascomycota
Spec643,Ascomycota
Spec565,Ascomycota
Spec644,Ascomycota
Spec645,Ascomycota
Spec567,Ascomycota
Spec568,Ascomycota
Spec646,Ascomycota
Spec647,Ascomycota
Spec570,Ascomycota
Spec644,Ascomycota
Spec648,Ascomycota
Spec568,Ascomycota
Spec649,Ascomycota
Spec647,Ascomycota
Spec650,Ascomycota
Spec651,Ascomycota
Spec652,Ascomycota
Spec653,Ascomycota
Spec649,Ascomycota
Spec556,Ascomycota
Spec654,Ascomycota
Spec655,Ascomycota
Spec656,Ascomycota
Spec657,Ascomycota
Spec658,Ascomycota
Spec659,Ascomycota
Spec660,Ascomycota
Spec661,Ascomycota
Spec662,Ascomycota
Spec663,Ascomycota
Spec664,Ascomycota
Spec665,Ascomycota
Spec570,Ascomycota
Spec653,Ascomycota
Spec664,Ascomycota
Spec666,Ascomycota
Spec667,Ascomycota
Spec665,Ascomycota
Spec646,Ascomycota
Spec668,Ascomycota
Spec669,Ascomycota
Spec670,Ascomycota
Spec671,Basidiomycota
Spec672,Ascomycota
Spec672,Ascomycota
Spec228,Ascomycota
Spec673,Ascomycota
Spec674,Ascomycota
Spec567,Ascomycota
Spec650,Ascomycota
Spec645,Ascomycota
Spec647,Ascomycota
Spec647,Ascomycota
Spec675,Ascomycota
Spec573,Ascomycota
Spec553,Ascomycota
Spec676,Ascomycota
Spec677,Ascomycota
Spec678,Ascomycota
Spec551,Ascomycota
Spec673,Ascomycota
Spec679,Ascomycota
Spec680,Ascomycota
Spec681,Ascomycota
Spec682,Ascomycota
Spec554,Ascomycota
Spec683,NA
Spec684,Ascomycota
Spec685,Ascomycota
Spec686,Ascomycota
Spec684,Ascomycota
Spec687,Ascomycota
Spec688,Ascomycota
Spec689,Ascomycota
Spec665,Ascomycota
Spec554,Ascomycota
Spec571,Ascomycota
Spec690,Ascomycota
Spec571,Ascomycota
Spec570,Ascomycota
Spec688,Ascomycota
Spec565,Ascomycota
Spec570,Ascomycota
Spec570,Ascomycota
Spec644,Ascomycota
Spec691,Ascomycota
Spec647,Ascomycota
Spec691,Ascomycota
Spec569,Ascomycota
Spec576,Ascomycota
Spec692,Ascomycota
Spec569,Ascomycota
Spec575,Ascomycota
Spec572,Ascomycota
Spec647,Ascomycota
Spec650,Ascomycota
Spec573,Ascomycota
Spec645,Ascomycota
Spec675,Ascomycota
Spec574,Ascomycota
Spec693,Ascomycota
Spec693,Ascomycota
Spec694,Basidiomycota
Spec695,Ascomycota
Spec690,Ascomycota
Spec694,Basidiomycota
Spec556,Ascomycota
Spec652,Ascomycota
Spec574,Ascomycota
Spec555,Ascomycota
Spec695,Ascomycota
Spec553,Ascomycota
Spec570,Ascomycota
Spec676,Ascomycota
Spec555,Ascomycota
Spec696,Ascomycota
Spec697,Ascomycota
Spec698,Ascomycota
Spec699,Ascomycota
Spec700,Ascomycota
Spec701,Ascomycota
Spec702,Ascomycota
Spec703,Ascomycota
Spec704,Ascomycota
Spec705,Ascomycota
Spec706,Ascomycota
Spec707,Ascomycota
Spec708,Ascomycota
Spec709,Ascomycota
Spec710,Ascomycota
Spec711,Ascomycota
Spec712,Ascomycota
Spec713,Ascomycota
Spec714,Ascomycota
Spec715,Ascomycota
Spec716,Ascomycota
Spec717,Ascomycota
Spec718,Ascomycota
Spec719,Ascomycota
Spec720,Ascomycota
Spec721,Ascomycota
Spec722,Ascomycota
Spec723,Ascomycota
Spec724,Ascomycota
Spec725,Ascomycota
Spec726,Ascomycota
Spec727,Ascomycota
Spec728,Ascomycota
Spec729,Ascomycota
Spec730,Ascomycota
Spec731,Ascomycota
Spec732,Ascomycota
Spec733,Ascomycota
Spec734,Ascomycota
Spec735,Ascomycota
Spec570,Ascomycota
Spec648,Ascomycota
Spec570,Ascomycota
Spec570,Ascomycota
Spec575,Ascomycota
Spec736,Ascomycota
Spec685,Ascomycota
Spec683,NA
Spec737,Ascomycota
Spec738,Ascomycota
Spec737,Ascomycota
Spec687,Ascomycota
Spec570,Ascomycota
Spec566,Ascomycota
Spec572,Ascomycota
Spec576,Ascomycota
Spec651,Ascomycota
Spec566,Ascomycota
Spec648,Ascomycota
Spec651,Ascomycota
Spec739,Ascomycota
Spec740,Ascomycota
Spec741,Ascomycota
Spec742,Ascomycota
Spec743,Ascomycota
Spec744,Ascomycota
Spec745,Ascomycota
Spec746,Ascomycota
Spec747,Ascomycota
Spec748,Ascomycota
